type,text,platform,wait_sec,thread,branch_type,terminal_type,next_thread,option_a_text,option_a_thread,option_b_text,option_b_thread
girl,"Hahah! Seriously? See, that's what makes me feel nervous when meeting people.. i feel self conscious.. so exactly how many people you've met in real life from here?",tinder,0,a,,,,,,,
narrator,"It might seem from her reaction that she liked your comment but rarely will you get an overtly negative response. The general tone here isn't building trust, comfort or happy vibes - just the opposite.",tinder,0,a,,,,,,,
self,Hahaha. You shouldn't be! You look very cute 😊,tinder,0,a,,,,,,,
self,Hmmmm. Maybe about 30 during the past 3 years?,tinder,0,a,,,,,,,
narrator,Typically giving numbers or getting into the weeds on details is not going to end well. A 'normal' number is very subjective and sounding too low or too high isn't going to help.,tinder,0,a,,,,,,,
girl,"Well you said, sometimes they don't look like their pictures.. what if i'm the same and i just don't know it? Hahaha...",tinder,0,a,,,,,,,
girl,30!? Seriously?? Both genders? Or just women??,tinder,0,a,,,,,,,
self,Hahaha. I'm sure that's not the case,tinder,0,a,,,,,,,
self,Add me on Facebook.,tinder,0,a,,,,,,,
self,James Smith,tinder,0,a,,,,,,,
self,"Hahaha. I'm straight, so just women",tinder,0,a,,,,,,,
girl,Lol.. hopefully not.. hahah...,tinder,0,a,,,,,,,
girl,But i barely use my facebook.. and there's some things in there i'd rather not have you see.. in case it turns you off.. hahaha!!,tinder,0,a,,,,,,,
narrator,Sometimes it's easy to forget but you're trying to work out if you're into her just as much as she's trying to figure the same about you.,tinder,0,a,,,,,,,
self,Hahhaha,tinder,0,a,,,,,,,
self,What would turn me off?,tinder,0,a,,,,,,,
self,I don't think that would happen lol,tinder,0,a,,,,,,,
self,Are you on Tinder looking for anything in particular? Just curious :),tinder,0,a,,,,,,,
girl,"All the crazy stuff, the wacky pics.. hahaha.. the shared posts! Omg, just thinking about it makes me embarrassed.. lol!",tinder,0,a,,,,,,,
girl,"I honestly don't know why i'm on tinder.. lol. My friend downloaded the app for me just this last friday, because she enjoyed it. And she wanted me to try it.",tinder,0,a,,,,,,,
girl,"I can tell you what i'm not looking for.. casual hookups? Or being a third party.. Lol. Talking, dating's fine, if it becomes more than that then i'll tackle it when i get there..",tinder,0,a,,,,,,,
girl,"I'm open to anything, but i do have standards.. lol.",tinder,0,a,,,,,,,
girl,What about you?,tinder,0,a,,,,,,,
narrator,"Well that took an unexpected turn. She seems very open to self growth and experimentation, if that's what you're looking for then this may be worth exploring.",tinder,0,a,,,,,,,
self,That's cool. I respect that,tinder,0,a,,,,,,,
self,"Honestly, casual dating and meeting new people for fun. I'm not usually a one night stand type of guy, but I'm also not looking for a serious relationship.",tinder,0,a,,,,,,,
girl,"Lol.. exactly! I just want to have fun, and like i said, if it happens, it'll happen, then i'll probably just go along with it..",tinder,0,a,,,,,,,
self,Totally,tinder,0,a,,,,,,,
self,"But I'm also not a Puritan, so if I'm dating someone we're hooking up haha",tinder,0,a,,,,,,,
girl,"Lol.. well, can't avoid that..",tinder,0,a,,,,,,,
narrator,Looks like you're on the same page and there's some mutual interest. Nice.,tinder,0,a,,,,,,,
self,😉,tinder,0,a,,,,,,,
self,Hahhaha,tinder,0,a,,,,,,,
self,I suppose not,tinder,0,a,,,,,,,
self,Are you on Instagram?,tinder,0,a,,,,,,,
self,Want to add me there?,tinder,0,a,,,,,,,
self,Or text?,tinder,0,a,,,,,,,
girl,"Lol.. text or instagram are both fine.. but just so you know, i barely have anything on my instagram...",tinder,0,a,,,,,,,
girl,"Personally, i'm just not into social media..",tinder,0,a,,,,,,,
girl,(256) 333-5956,tinder,0,a,,,,,,,
girl,@lucytai1234567,tinder,0,a,,,,,,,
self,Well you'll have to text me pictures of you then haha,tinder,0,a,,,,,,,
self,256.472.2841,tinder,0,a,,,,,,,
self,😊,tinder,0,a,,,,,,,
girl,Lol.. fine!,tinder,0,a,,,,,,,
self,Hahhaa,tinder,0,a,,,,,,,
self,Waiting😉,tinder,0,a,,,,,,,
branch,In the end it seems like it worked out even though it got bumpy in the middle. Lots to learn.,tinder,0,a,terminal,success,,,,,
