type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
narrator,Bummer. She didn't have it in her calendar and the last minute outreach didn't make her feel like she was a priority. This can go either way.,iMessage,0,v,,,,,,,
branch,,iMessage,0,v,terminal,,fail,,,,
branch,Decision time...,iMessage,0,w,multi,,,Present some options to her.,x,Ask what her favorite restaurants are,y
self,"okay, i have 3 options",iMessage,0,x,,,,,,,
self,"gourmet BQQ, pho, or this chinese thai fusion place",iMessage,0,x,,,,,,,
girl,such good options! hard to choose,iMessage,0,x,,,,,,,
girl,Hmmmmm,iMessage,0,x,,,,,,,
girl,Pho!,iMessage,0,x,,,,,,,
self,wise decision,iMessage,0,x,,,,,,,
girl,:),iMessage,0,x,,,,,,,
self,"Okay, Sunflower Vietnamese Restaurant on connecticut street at 7:30?",iMessage,0,x,,,,,,,
girl,perfect!,iMessage,0,x,,,,,,,
self,"great, looking forward to it :)",iMessage,0,x,,,,,,,
girl,me too,iMessage,0,x,,,,,,,
self,see ya manana,iMessage,0,x,,,,,,,
girl,see you then,iMessage,0,x,,,,,,,
girl,"running late, sorry",iMessage,0,x,,,,,,,
self,"no rush, take your time :)",iMessage,0,x,,,,,,,
narrator,Good response. Life happens. Getting bent out of shape over punctuality is never attractive.,iMessage,0,x,,,,,,,
girl,"thank you, i'm about 15 min away now",iMessage,0,x,,,,,,,
branch,,iMessage,0,x,linear,z,,,,,
self,what are some of your favorite restaurants?,iMessage,0,y,,,,,,,
girl,Making me do the work?,iMessage,0,y,,,,,,,
self,;),iMessage,0,y,,,,,,,
girl,"yeah, i'm sure you can figure out how to use yelp ;)",iMessage,0,y,,,,,,,
narrator,Being lazy and unassertive doesn't seem to fly here. Here's a better idea...,iMessage,0,y,,,,,,,
branch,,iMessage,0,y,linear,x,,,,,
self,"got home safe, thanks again for tonight. I had fun meeting you",iMessage,0,z,,,,,,,
girl,me too. i had a great time :),iMessage,0,z,,,,,,,
girl,"i honestly haven't been on that many tinder dates, and it always makes me a little nervous meeting people",iMessage,0,z,,,,,,,
self,oh yeah? why's that?,iMessage,0,z,,,,,,,
girl,"well, sometimes guys are just creepy, or you show up and they don't look like their picture haha",iMessage,0,z,,,,,,,
girl,like they are older and fatter in real life lol,iMessage,0,z,,,,,,,
self,hahaha,iMessage,0,z,,,,,,,
self ,hopefully i didn't dissapoint ;),iMessage,0,z,,,,,,,
girl,not at all! you looked just like your pictures :),iMessage,0,z,,,,,,,
girl,that's a good thing,iMessage,0,z,,,,,,,
branch,,iMessage,0,z,multi,,,Return the compliment,za,Flatter her a bit more,zb
self,"thank you, you're very sweet",iMessage,0,za,,,,,,,
self,you look just like your pictures too,iMessage,0,za,,,,,,,
self,that's a good thing too,iMessage,0,za,,,,,,,
girl,hahaha,iMessage,0,za,,,,,,,
girl,thanks,iMessage,0,za,,,,,,,
narrator,"You had a good date. You're taking things slow. The only concern is your intentions. If you want something more serious, you're playing the right cards. If you're looking for casual, you need to take more risk and let your intentions be known.",iMessage,0,za,,,,,,,
branch,,iMessage,0,za,terminal,,success,,,,
self,why thank you :),iMessage,0,zb,,,,,,,
self,i have to say i found you to be quite gorgeous,iMessage,0,zb,,,,,,,
self,even more than in your pictures,iMessage,0,zb,,,,,,,
narrator,Good compliment. It's always good to be genuine and not creepy.,iMessage,0,zb,,,,,,,
girl,well you're quite the sweet talker ,iMessage,0,zb,,,,,,,
self,seriously,iMessage,0,zb,,,,,,,
girl,i never said i didn't like sweet talkers ;),iMessage,0,zb,,,,,,,
self,😏,iMessage,0,zb,,,,,,,
self,"in fact, i was finding it pretty hard not to kiss you at the end of the date",iMessage,0,zb,,,,,,,
girl,i really wish you had....,iMessage,0,zb,,,,,,,
self,oh yeah?,iMessage,0,zb,,,,,,,
girl,yes,iMessage,0,zb,,,,,,,
self,had i known that i would have turned the car around!,iMessage,0,zb,,,,,,,
girl,such a shame,iMessage,0,zb,,,,,,,
girl,although....,iMessage,0,zb,,,,,,,
self,hahaha,iMessage,0,zb,,,,,,,
self,although what?,iMessage,0,zb,,,,,,,
girl,"it's only 10, and i actually don't work tomorrow",iMessage,0,zb,,,,,,,
narrator,"That seems like an invitation, so good time to make a move, but make sure to still be polite and without expectations",iMessage,0,zb,,,,,,,
self,oh yeah? 😊,iMessage,0,zb,,,,,,,
girl,yupppp,iMessage,0,zb,,,,,,,
self,maybe i can come back and give you a good night kiss,iMessage,0,zb,,,,,,,
girl,haha,iMessage,0,zb,,,,,,,
girl,mayyyybee 😏,iMessage,0,zb,,,,,,,
girl,or maybe we can watch the new Chappelle standup on Netflix?,iMessage,0,zb,,,,,,,
self,i'm out the door right now,iMessage,0,zb,,,,,,,
girl,lol seriously?,iMessage,0,zb,,,,,,,
self,"if you'd like, then most definitely",iMessage,0,zb,,,,,,,
girl,sure haha. come on over,iMessage,0,zb,,,,,,,
self,great! see you in 20,iMessage,0,zb,,,,,,,
branch,"Woah! fireworks. She kinda handed this one to you. Good job picking up on the signals. Have fun, and remember to be a gentleman.",iMessage,0,zb,terminal,,success,,,,
