type,text,platform,wait_sec,thread,branch_type,next_thread,terminal_type,option_a_text,option_a_thread,option_b_text,option_b_thread
girl,Thanks!,tinder,0,f,,,,,,,
girl,"So I can meet up, but there are some rules",tinder,0,f,,,,,,,
girl,"We can hangout, but I'm not available for dating",tinder,0,f,,,,,,,
girl,Is that okay with you?,tinder,0,f,,,,,,,
branch,,tinder,0,f,linear,g,,,,,
branch,,tinder,0,g,multi,,,"It's cool with you, and you're interested",h,Not what you're looking for,i
self,"Yeah, I like to think I'm a pretty open minded guy :)",tinder,0,h,,,,,,,
girl,Okay cool :),tinder,0,h,,,,,,,
girl,I like open minded guys ;),tinder,0,h,,,,,,,
self,:),tinder,0,h,,,,,,,
girl,There's another rule though...,tinder,0,h,,,,,,,
girl,My boyfriend likes me to take pictures and video when I'm with other people,tinder,0,h,,,,,,,
branch,,tinder,0,h,linear,g,,,,,
self,"I can totally respect that, but it's not quite what I'm looking for right now",tinder,0,i,,,,,,,
girl,I understand :),tinder,0,i,,,,,,,
self,I hope you find what you're looking for though,tinder,0,i,,,,,,,
girl,Same to you!,tinder,0,i,,,,,,,
narrator,"Nice. Even though you two weren't looking for the same thing, you ended the conversation in a polite way :)",tinder,0,i,,,,,,,
branch,,tinder,0,i,terminal,,success,,,,
branch,,tinder,0,j,multi,,,You're down with the naughty pics,k,A little outside of your comfort zone,l
self,Kinky,tinder,0,k,,,,,,,
self,I could be into that,tinder,0,k,,,,,,,
girl,really?,tinder,0,k,,,,,,,
self,yeah haha,tinder,0,k,,,,,,,
self,There would need to be some rules for us though,tinder,0,k,,,,,,,
girl,Hahaha okay,tinder,0,k,,,,,,,
self,I need to be able to take the pictures and video,tinder,0,k,,,,,,,
self,"I don't want my face to be in the pictures or videos, just for personal reasons",tinder,0,k,,,,,,,
girl,That makes sense,tinder,0,k,,,,,,,
girl,No problem :),tinder,0,k,,,,,,,
self,"The only other thing is that we use protection, I'm pretty strict with the whole condoms thing",tinder,0,k,,,,,,,
girl,Absolutely,tinder,0,k,,,,,,,
girl,I'm glad that you're careful and upfront :),tinder,0,k,,,,,,,
self,Of course :),tinder,0,k,,,,,,,
self,Shall we continue this conversation over text?,tinder,0,k,,,,,,,
girl,Yes please!,tinder,0,k,,,,,,,
girl,My number is 555.555.5555,tinder,0,k,,,,,,,
branch,,tinder,0,k,linear,m,,,,,
self,"I can totally respect that, but I'm not quite comfortable with that",tinder,0,l,,,,,,,
girl,I understand :),tinder,0,l,,,,,,,
self,I hope you find what you're looking for though,tinder,0,l,,,,,,,
girl,Same to you!,tinder,0,l,,,,,,,
narrator,"Nice. Even though you two weren't looking for the same thing, you ended the conversation in a polite way :)",tinder,0,l,,,,,,,
branch,,tinder,0,l,terminal,,success,,,,
self,This is Colin :),iMessage,0,m,,,,,,,
girl,Hey there,iMessage,0,m,,,,,,,
girl,So when is good for you to meet?,iMessage,0,m,,,,,,,
self,Let's see,iMessage,0,m,,,,,,,
self,It's already late tonight,iMessage,0,m,,,,,,,
self,So another day this week would be best,iMessage,0,m,,,,,,,
girl,Okay haha,iMessage,0,m,,,,,,,
girl,:),iMessage,0,m,,,,,,,
self,Can I see more pictures of you?,iMessage,0,m,,,,,,,
narrator,"Although this can be a bold move, I think in this case it's fair since she likes pictures. It might even be a leading question...",iMessage,0,m,,,,,,,
girl,What kind of pictures do you want to see? ;),iMessage,0,m,,,,,,,
branch,,iMessage,0,m,multi,,,Turn this into a kinky conversation,n,Keep it PG-13,o
self,I am glad to check out whatever you'd like to share with me :),iMessage,0,n,,,,,,,
girl,Hahaha,iMessage,0,n,,,,,,,
girl,Let's start with some normal pics haha,iMessage,0,n,,,,,,,
self,Works for me,iMessage,0,n,,,,,,,
girl,{pic 1},iMessage,0,n,,,,,,,
girl,{pic 2},iMessage,0,n,,,,,,,
self,Wow. You are quite beautiful,iMessage,0,n,,,,,,,
narrator,"Everyone likes compliments, especially a genuine one",iMessage,0,n,,,,,,,
girl,Why thank you ;),iMessage,0,n,,,,,,,
girl,Your turn,iMessage,0,n,,,,,,,
self,Okay haha,iMessage,0,n,,,,,,,
self,{pic 1},iMessage,0,n,,,,,,,
self,{pic 2},iMessage,0,n,,,,,,,
girl,You're not so bad yourself ;),iMessage,0,n,,,,,,,
self,Awwww shucks,iMessage,0,n,,,,,,,
self,Thank you haha,iMessage,0,n,,,,,,,
self,So what evenings are you free this week?,iMessage,0,n,,,,,,,
girl,"I'm free Wednesday, Thursday, and Sunday",iMessage,0,n,,,,,,,
girl,Just let me know in advance,iMessage,0,n,,,,,,,
self,Okay,iMessage,0,n,,,,,,,
self,Let's plan for Thursday eveing after 8pm?,iMessage,0,n,,,,,,,
self,"I guess we can ""netflix and chill""? haha",iMessage,0,n,,,,,,,
narrator,"Given the context this works perfectly. In other circumstances, not so much.",iMessage,0,n,,,,,,,
girl,that sounds good to me haha,iMessage,0,n,,,,,,,
girl,;),iMessage,0,n,,,,,,,
self,Great,iMessage,0,n,,,,,,,
self,I'll text you Thursday AM,iMessage,0,n,,,,,,,
girl,Okay! Talk soon,iMessage,0,n,,,,,,,
narrator,Well! This should be a fun time. Make sure to be polite and be safe :),iMessage,0,n,,,,,,,
branch,,iMessage,0,n,terminal,,success,,,,
self,Let's start with some regular pics haha,iMessage,0,o,,,,,,,
girl,Hahaha okay,iMessage,0,o,,,,,,,
girl,{pic 1},iMessage,0,o,,,,,,,
girl,{pic 2},iMessage,0,o,,,,,,,
self,Wow. You are quite beautiful,iMessage,0,o,,,,,,,
narrator,"Everyone likes compliments, especially a genuine one",iMessage,0,o,,,,,,,
girl,Why thank you ;),iMessage,0,o,,,,,,,
girl,Your turn,iMessage,0,o,,,,,,,
self,Okay haha,iMessage,0,o,,,,,,,
self,{pic 1},iMessage,0,o,,,,,,,
self,{pic 2},iMessage,0,o,,,,,,,
girl,You're not so bad yourself ;),iMessage,0,o,,,,,,,
self,Awwww shucks,iMessage,0,o,,,,,,,
self,Thank you haha,iMessage,0,o,,,,,,,
self,So what evenings are you free this week?,iMessage,0,o,,,,,,,
girl,"I'm free Wednesday, Thursday, and Sunday",iMessage,0,o,,,,,,,
girl,Just let me know in advance,iMessage,0,o,,,,,,,
self,Okay,iMessage,0,o,,,,,,,
self,Let's plan for Thursday eveing after 8pm?,iMessage,0,o,,,,,,,
self,"I guess we can ""netflix and chill""? haha",iMessage,0,o,,,,,,,
girl,that sounds good to me haha,iMessage,0,o,,,,,,,
girl,;),iMessage,0,o,,,,,,,
self,Great,iMessage,0,o,,,,,,,
self,I'll text you Thursday AM,iMessage,0,o,,,,,,,
girl,Okay! Talk soon,iMessage,0,o,,,,,,,
narrator,Well! This should be a fun time. Make sure to be polite and be safe :),iMessage,0,o,,,,,,,
branch,,iMessage,0,o,terminal,,success,,,,
