type,text,platform,wait_sec,thread,branch_type,terminal_type,next_thread,option_a_text,option_a_thread,option_b_text,option_b_thread
self,Maybe some people use it that way. I don't think hooking up is negative as well. People use it for different things,bumble,0,a,,,,,,,
self,I don't think of tinder as a dating site for relationships like match or eharmony,bumble,0,a,,,,,,,
self,"But I use it to meet people and go on dates, not one night stands or anything",bumble,0,a,,,,,,,
girl,Me neither. Dating site should have more info than a photo and some height.,bumble,0,a,,,,,,,
girl,Nothing is wrong about one night stands. Sometimes people intend to continue but things don't always go as anticipated.,bumble,0,a,,,,,,,
self,"Hahaha. Yeah, it's a little superficial",bumble,0,a,,,,,,,
self,That's true,bumble,0,a,,,,,,,
girl,It's very superficial! Plus I don't really manage my fb very well,bumble,0,a,,,,,,,
girl,But tinder cuts off the bullshit.,bumble,0,a,,,,,,,
self,Haha. I only keep up with my FB for work stuff,bumble,0,a,,,,,,,
self,"But I like tinder because it's like, you get to meet a person that you think is cute, and you can take it from there",bumble,0,a,,,,,,,
girl,"I barely update anything, but check friends' updates time to time",bumble,0,a,,,,,,,
self,"Friends, hook up, dating, casual sex, relationship, business connection... Anything is possible",bumble,0,a,,,,,,,
girl,"True. Like I said, it cuts off the bullshit. Chemistry starts from superficial anyway.",bumble,0,a,,,,,,,
self,Hahaha. That is usually the case,bumble,0,a,,,,,,,
girl,Need go to bed,bumble,0,a,,,,,,,
self,Same here!,bumble,0,a,,,,,,,
self,Continue this conversation later? :),bumble,0,a,,,,,,,
girl,Sure,bumble,0,a,,,,,,,
girl,Good night Joe. 7182852627 ,bumble,0,a,,,,,,,
self,Sleep well Mai!,bumble,0,a,,,,,,,
narrator,Well done. You stayed honest about your intentions and so did she. She was comfortable opening up.,bumble,0,a,,,,,,,
self,Hey Mai! How's your day going so far?,bumble,0,a,,,,,,,
girl,Hey Joe!,bumble,0,a,,,,,,,
girl,Cray cray,bumble,0,a,,,,,,,
girl,Just finish gym and going to grab lunch,bumble,0,a,,,,,,,
self,Busy busy! But it sounds like a good day :) What do you like to do when you go to the gym?,bumble,0,a,,,,,,,
narrator,Be a little careful here. She may be giving the hint that she's busy right now and pushing to hard to force a conversation can feel needy.,bumble,0,a,,,,,,,
girl,Just ran and was on stepping machine for an hour today. I also do the group exercise like Pilate and spinning a lot.,bumble,0,a,,,,,,,
girl,"Work has been very stressful recently, need work out more to relax. How's your day going so far?",bumble,0,a,,,,,,,
self,Wow! That's a ton of cardio!,bumble,0,a,,,,,,,
self,Why is work so stressful? Big project? Long hours?,bumble,0,a,,,,,,,
self,"It's going well. Relatively relaxed, but still busy",bumble,0,a,,,,,,,
girl,Reorg and it's chaos,bumble,0,a,,,,,,,
girl,But I'm still very excited about my new bike haha like a little girl. Checking components and accessories.,bumble,0,a,,,,,,,
narrator,"She's enjoys exercise including biking, let's see where this goes. Any time she references feeling girly feelings is generally a good thing.",bumble,0,a,,,,,,,
self,You're gonna be a critical mass and bike partier? ;),bumble,0,a,,,,,,,
girl,I'm pretty picky lol but try to be a bit more serious on cycling at this point. Not sure about the party for now ;) but will definitely join some clubs.,bumble,0,a,,,,,,,
self,Awesome! So you're going to be like an exercise cyclist? My parents are really into cycling. They've both done the aids ride.,bumble,0,a,,,,,,,
narrator,Maybe next time call it a charity ride. Just a thought.,bumble,0,a,,,,,,,
girl,I'm still beginner but that's gonna change with time. Sounds like you should get a bike too ;),bumble,0,a,,,,,,,
self,I know I know. Brooklyn you drive a lot though :/,bumble,0,a,,,,,,,
girl,Haha the city is totally not bike friendly but cycling is not about commute though ;) ;),bumble,0,a,,,,,,,
self,"It's a lifestyle, I know lol",bumble,0,a,,,,,,,
self,Want to add me on FB? Joe Portman :),bumble,0,a,,,,,,,
girl,Added ;),bumble,0,a,,,,,,,
self,Do you use FB messenger at all?,bumble,0,a,,,,,,,
girl,Yes I use fb messenger. But it works bad sometimes,bumble,0,a,,,,,,,
branch,"Well that worked out in the end. The conversation got the emotions stirring at times and flowed well. Not the greatest interaction of all time, but it's all part of the journey.",bumble,0,a,terminal,success,,,,,
